Unique ID,Start Date,End Date,"Q1. What is your current age? 
(Age)","Q2. What is your gender? 
(Gender)","Q3. Which of the following best describes the area or community in which you live? 
(Urban/Rural)","Q4.  Please indicate the answer that includes your entire household income in (previous year) before taxes. 
(Income)","Q6 Which of the following types of alcoholic beverages have you consumed in the past 4 weeks?
(Alcohol Category)",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,"Q7. Which of the following beer types of have you consumed in the past 4 weeks? 
(Beer Category )",Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,"Q9. How relevant would you say the shown product is to you based on what you saw and read?
(Concept Relevance)","Q10. How appealing or unappealing is the shown product  to you?
(Concept Appeal)","Q11. How different do you think the shown product is from other beers currently available for purchase?
(Concept Differentiation)","Q12. Thinking about the shown product, which option describes how believable or unbelievable you feel the description and statements made about it are?
(Concept Beleivability)","Q13. How does the price fit with what you’d expect the shown to cost?
(Concept_Price)","Q14. Which statement below best describes how likely you would be to buy shown product if it were available at your local stores?
(Concept_Purchase Intent)","Q15. If the shwon product was available to you, how often would you expect yourself to drink at least one of these products?
(Concept_Drinking Frequency)",Q16A. What is the most important thing you LIKE about the shown concept}?     This can include anything you would want kept for sure or aspects that might drive you to buy or try it…       Please type a detailed response in the space below,"Q16B. What is the most important thing you DISLIKE about the shown concept}?    This can include general concerns, annoyances, or any aspects of the product that need fixed for this to be more appealing to you...     Please type a detailed response in the space below.","Q17. We would like to know what effect this new product might have on the other beverages you buy. If it were available, would the shown product…? 
(Concept_Replacement Product)","Q18_1 What specific product that you are currently using would the shown product replace?
 Please type in ONE specific brand or product per space provided.","Q18_2 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided.","Q18_3 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided.",OE_Quality_Flag,AI_Detection_29,AI_Detection_30
35.0,2024-10-11 11:35:34,2024-10-11 11:42:29,37.0,1.0,1.0,12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0,5.0,4.0,3.0,3.0,4.0,7.0,Everything about it,Nothing,2.0,Budweiser,Bud light,Coors,0.0,Human-Written,Human-Written
36.0,2024-10-11 11:28:08,2024-10-11 11:43:31,58.0,1.0,3.0,1.0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,4.0,4.0,3.0,4.0,4.0,3.0,7.0,That it is organic and low-cal,It's a little expensive.,1.0,,,,0.0,Human-Written,Human-Written
37.0,2024-10-11 11:19:34,2024-10-11 11:51:25,64.0,1.0,3.0,1.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,like that is a light beer,nothing,2.0,coors light,blue moon,miller,0.0,Human-Written,Human-Written
40.0,2024-10-11 17:54:11,2024-10-11 18:05:57,50.0,2.0,1.0,5.0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,I like the colors in the packaging and the packaging on the bottle.,There was nothing,2.0,Miller Lite,,,0.0,Human-Written,Human-Written
42.0,2024-10-11 18:27:27,2024-10-11 18:47:46,28.0,2.0,5.0,12.0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,The smooth taste.,,2.0,Michelob,Chelando,Yuengling,0.0,Human-Written,Human-Written
43.0,2024-10-11 18:51:23,2024-10-11 19:01:08,48.0,2.0,3.0,12.0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,Less calories,Light beers are usually light in flavor,2.0,Bidweiser,,,0.0,Human-Written,Human-Written
45.0,2024-10-11 18:51:34,2024-10-11 19:11:18,59.0,2.0,1.0,11.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,the calorie count,I think it might be too light tasting,1.0,,,,0.0,Human-Written,Human-Written
47.0,2024-10-11 23:24:03,2024-10-11 23:34:24,26.0,1.0,5.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0,1.0,3.0,1.0,4.0,4.0,0.0,No,Dislike,1.0,,,,1.0,Human-Written,Human-Written
49.0,2024-10-12 01:05:20,2024-10-12 01:27:18,64.0,1.0,1.0,12.0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,5.0,5.0,4.0,4.0,5.0,5.0,8.0,I love their service.It is so good.,Nothing is dislikeable,3.0,Herrfood,Lactalis,ARS,0.0,Human-Written,Human-Written
50.0,2024-10-12 03:18:33,2024-10-12 03:30:18,28.0,1.0,3.0,10.0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,5.0,5.0,5.0,3.0,3.0,5.0,5.0,premium light beer with lower ABV,I dont dislike anything,2.0,heineken,corona,high noon,1.0,Human-Written,Human-Written
52.0,2024-10-12 04:24:30,2024-10-12 04:34:24,46.0,2.0,2.0,4.0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,Looks different,Nothing,1.0,,,,0.0,Human-Written,Human-Written
55.0,2024-10-12 06:40:11,2024-10-12 06:50:07,27.0,1.0,2.0,8.0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,5.0,5.0,4.0,4.0,3.0,5.0,7.0,great tasting,nothing,1.0,,,,0.0,Human-Written,Human-Written
56.0,2024-10-12 06:37:11,2024-10-12 06:51:59,53.0,2.0,2.0,8.0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,2.0,4.0,3.0,3.0,2.0,4.0,6.0,"That it’s certified organic and also a light beer, two very original ideas for a beer.","Probably that it’s Michelob and I grew up with Coors, Bud and Mx beer in my house.",1.0,,,,1.0,Human-Written,Human-Written
57.0,2024-10-12 06:46:57,2024-10-12 06:52:32,43.0,2.0,1.0,1.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5.0,4.0,5.0,4.0,4.0,5.0,7.0,its very refreshing,nothing,3.0,great,large,good,0.0,Human-Written,Human-Written
59.0,2024-10-12 07:47:26,2024-10-12 08:14:13,48.0,1.0,3.0,11.0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,"Its a light beer, refreshing, not filling.",I'm concerned with the taste.,1.0,,,,0.0,Human-Written,Human-Written
61.0,2024-10-12 08:21:34,2024-10-12 08:39:31,34.0,1.0,1.0,10.0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,4.0,5.0,5.0,3.0,3.0,5.0,7.0,I like everything about it.,Nothing I dislike about it.,3.0,Miller Lite,Heineken,Corona light,0.0,Human-Written,Human-Written
62.0,2024-10-12 08:27:05,2024-10-12 08:43:17,31.0,1.0,1.0,3.0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,4.0,5.0,4.0,4.0,4.0,5.0,7.0,Everything the color rich taste,Nothing,3.0,Bud light,Michelada,Coors light,0.0,Human-Written,Human-Written
64.0,2024-10-12 09:26:14,2024-10-12 09:34:10,31.0,2.0,3.0,11.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3.0,4.0,2.0,3.0,3.0,3.0,6.0,The smooth taste,I don't like the aftertaste,2.0,Heineken,Corona,Bud West,0.0,Human-Written,Human-Written
65.0,2024-10-12 09:26:05,2024-10-12 09:36:59,62.0,1.0,3.0,11.0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,That it is organic and a light beer.,Price would like more if the price was a dollar cheaper.,1.0,,,,0.0,Human-Written,Human-Written
66.0,2024-10-12 09:30:54,2024-10-12 09:37:11,38.0,1.0,1.0,5.0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,3.0,4.0,4.0,3.0,4.0,4.0,7.0,I liked everything about this product,Nothing to not like,2.0,Cool,Tasty,Refreshing,0.0,Human-Written,Human-Written
69.0,2024-10-12 10:20:13,2024-10-12 10:29:56,48.0,2.0,3.0,9.0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,5.0,5.0,5.0,4.0,3.0,5.0,6.0,The taste it's the most important for me,Anything,3.0,Corona,Budweiser,Tecate,0.0,Human-Written,Human-Written
71.0,2024-10-12 10:43:11,2024-10-12 10:49:00,32.0,2.0,3.0,4.0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,3.0,3.0,2.0,2.0,4.0,3.0,0.0,Nothing I never tried,No comment,1.0,,,,0.0,Human-Written,Human-Written
73.0,2024-10-12 11:01:02,2024-10-12 11:15:19,61.0,2.0,4.0,6.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,the taste would be desirable,1/3 less alcohol than light beer. Why drink it?,1.0,,,,0.0,Human-Written,Human-Written
74.0,2024-10-12 11:24:57,2024-10-12 11:32:44,56.0,1.0,4.0,8.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,i dont like this beer,its gross,1.0,,,,0.0,Human-Written,Human-Written
75.0,2024-10-12 11:19:15,2024-10-12 11:33:15,43.0,1.0,4.0,11.0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,4.0,4.0,5.0,4.0,4.0,4.0,7.0,The fact that it is an organic light beer that is crisp and fresh tasting,The price is the only thing I dislike,2.0,Miller Lite,Bud Light,Dos Equis,0.0,Human-Written,Human-Written
76.0,2024-10-12 11:39:13,2024-10-12 11:44:49,42.0,2.0,2.0,12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.0,5.0,4.0,4.0,3.0,5.0,8.0,It would taste good,Nothing,1.0,,,,0.0,Human-Written,Human-Written
77.0,2024-10-12 11:57:05,2024-10-12 12:18:57,64.0,2.0,1.0,6.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,it has a crisp taste,nothing,1.0,,,,0.0,Human-Written,Human-Written
78.0,2024-10-12 12:22:47,2024-10-12 12:32:24,37.0,1.0,3.0,1.0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,It's presentation,The color of the beer,2.0,Olde english,Cobra,Hurricane,1.0,Human-Written,Human-Written
80.0,2024-10-12 12:19:41,2024-10-12 12:37:05,50.0,2.0,1.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,4.0,4.0,3.0,3.0,4.0,6.0,The look is appealing,Possibly the colors,3.0,Bud light,Budweiser,Modelo,0.0,Human-Written,Human-Written
81.0,2024-10-12 12:06:44,2024-10-12 12:40:21,37.0,1.0,2.0,1.0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,5.0,5.0,5.0,4.0,3.0,5.0,7.0,I like the overall taste for me,I have no dislikes,1.0,,,,0.0,Human-Written,Human-Written
83.0,2024-10-12 12:32:59,2024-10-12 12:49:07,34.0,2.0,3.0,7.0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,4.0,4.0,3.0,3.0,5.0,2.0,6.0,The color of the beer and the design on the bottle make it look more delicious.,The price.,2.0,Corona Light,Michelob Ultra,No others,0.0,Human-Written,Human-Written
85.0,2024-10-12 12:52:54,2024-10-12 12:57:11,36.0,1.0,2.0,6.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5.0,5.0,5.0,2.0,3.0,4.0,5.0,I like it all,Nothing,1.0,,,,0.0,Human-Written,Human-Written
86.0,2024-10-12 12:43:10,2024-10-12 13:00:10,55.0,2.0,5.0,8.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3.0,3.0,4.0,3.0,3.0,4.0,7.0,The taste,Nothing,1.0,,,,0.0,Human-Written,Human-Written
89.0,2024-10-12 12:55:29,2024-10-12 13:06:49,37.0,2.0,3.0,9.0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,Low carb but full of flavor,Nothing in particular,2.0,Blue moon,Stella artois,Sierra nevada,0.0,Human-Written,Human-Written
92.0,2024-10-12 13:10:30,2024-10-12 13:25:43,39.0,1.0,1.0,6.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,The alcohol percentage,Nothing,1.0,,,,0.0,Human-Written,Human-Written
93.0,2024-10-12 13:04:05,2024-10-12 13:26:09,53.0,2.0,1.0,1.0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1.0,3.0,3.0,4.0,3.0,1.0,0.0,Very low in calories. That it's organic.,I'm not too fond of lagers.,1.0,,,,0.0,Human-Written,Human-Written
95.0,2024-10-12 13:21:30,2024-10-12 13:33:52,32.0,1.0,1.0,6.0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1.0,4.0,4.0,3.0,5.0,5.0,8.0,Like the image and taste good,Nothing I dislike about it,2.0,Coorlite,Corona,Coors,1.0,Human-Written,Human-Written
97.0,2024-10-12 13:27:59,2024-10-12 13:40:15,42.0,2.0,2.0,3.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,There's nothing in particular that I like about it I've heard that it's not that expensive but I don't know if I would be able to acquire The taste but the colors on the bottle looks very good,I think the bear is too light it looks kind of watery,2.0,Steel reserve,Montebello,Vonka,0.0,Human-Written,Human-Written
98.0,2024-10-12 13:34:39,2024-10-12 13:49:23,30.0,1.0,1.0,1.0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,I like that it is a light calorie beer that taste good and it’s USDA certified,I think the bottle could look a little better but other than that it looks very appealing and I don’t dislike anything about ht,2.0,Xx,Corona,Michelob Ultra,0.0,Human-Written,Human-Written
100.0,2024-10-12 13:34:15,2024-10-12 14:07:58,61.0,2.0,1.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,I like that it is a lager and the bottle is attractive.,I don't like light beer.,1.0,,,,0.0,Human-Written,Human-Written
103.0,2024-10-12 14:31:48,2024-10-12 14:43:22,53.0,2.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,Low carb low cal,Price,2.0,Ultra,Xx,Corona,0.0,Human-Written,Human-Written
104.0,2024-10-12 14:36:16,2024-10-12 14:44:34,31.0,2.0,3.0,5.0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,4.0,3.0,1.0,3.0,3.0,3.0,6.0,It has a nice bright color. Nothing about it is particularly interesting but it’s nice to look at.,It doesn’t make me want to buy it. I don’t see anything special about it.,2.0,Stella Artois,Corona,Budweiser,0.0,Human-Written,Human-Written
105.0,2024-10-12 14:39:43,2024-10-12 14:44:43,57.0,1.0,3.0,10.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,5.0,5.0,5.0,4.0,3.0,5.0,7.0,smooth taste,nothing,2.0,miller lite,corona light,micholob ultra,0.0,Human-Written,Human-Written
106.0,2024-10-12 14:36:57,2024-10-12 14:45:29,43.0,2.0,1.0,4.0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1.0,3.0,4.0,2.0,4.0,1.0,0.0,Organic would be interestung,Not sure it'd be any different than other beer,2.0,Bud light,Budweiser,Corona,1.0,Human-Written,Human-Written
107.0,2024-10-12 14:47:39,2024-10-12 14:52:05,43.0,1.0,3.0,4.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,Not much,Not much,1.0,,,,0.0,Human-Written,Human-Written
108.0,2024-10-12 14:15:20,2024-10-12 14:53:25,28.0,1.0,2.0,9.0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,5.0,5.0,1.0,4.0,3.0,5.0,5.0,It's very light. Easy to drink anytime,Nothing is really new about it such as it's flavor,1.0,,,,0.0,Human-Written,Human-Written
111.0,2024-10-12 14:52:03,2024-10-12 15:01:15,45.0,1.0,1.0,4.0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,I don't really like this brand of beer,Nothing specific it's just not a beer that I like,1.0,,,,0.0,Human-Written,Human-Written
112.0,2024-10-12 14:44:20,2024-10-12 15:01:32,40.0,1.0,3.0,6.0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1.0,1.0,4.0,4.0,3.0,5.0,7.0,Light in carbs and calories and lower percentage of alcohol. I’m already trying to cut back and ulta is one of my favorites. Have to try out the little brother,I considered this premium so the price might be kind of above average for some folks,2.0,Ultra,Bud light,Corona light,0.0,Human-Written,Human-Written
113.0,2024-10-12 14:39:11,2024-10-12 15:01:34,40.0,1.0,2.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,It is a lightly beer,,2.0,Michelob ultra,Heineken,Coors,0.0,Human-Written,Human-Written
114.0,2024-10-12 14:56:58,2024-10-12 15:03:05,40.0,2.0,2.0,11.0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,4.0,4.0,4.0,3.0,3.0,4.0,6.0,The package,The price,2.0,Corona,Bush,Bud,0.0,Human-Written,Human-Written
115.0,2024-10-12 15:09:14,2024-10-12 15:23:53,25.0,2.0,2.0,6.0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,3.0,5.0,5.0,4.0,4.0,5.0,7.0,It’s a pretty beer,It’s probably expensive,2.0,Budlight,Budweiser,Corona,0.0,Human-Written,Human-Written
117.0,2024-10-12 15:21:51,2024-10-12 15:34:51,42.0,2.0,1.0,4.0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,How pale and smooth it is,It's a little bitter,1.0,,,,0.0,Human-Written,Human-Written
118.0,2024-10-12 15:13:58,2024-10-12 15:37:44,34.0,2.0,1.0,11.0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,4.0,4.0,4.0,3.0,3.0,5.0,6.0,I like the way this product bring a good description of a good beer,nothing about this product dislike to me so far about it,2.0,corona,miller,estrella jalisco,0.0,Human-Written,Human-Written
119.0,2024-10-12 15:29:06,2024-10-12 15:38:10,33.0,2.0,2.0,6.0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,I like the design of the bottle,I feel like it isn't the taste I'm looking for,1.0,,,,0.0,Human-Written,Human-Written
121.0,2024-10-12 15:28:01,2024-10-12 15:40:42,64.0,1.0,3.0,3.0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1.0,2.0,3.0,3.0,4.0,1.0,0.0,Nothing,I don't think it's a beer for me,1.0,,,,0.0,Human-Written,Human-Written
